"Sample","CellID","Pre.Count","Pre.Percentage","Post.Count","Post.Percentage","post.pre"
"im-tram3_li","Hom#27",873,"0,47",409,"0,24","0,51"
"im-tram3_li","V654A#29",10677,"5,69",691,"0,40","0,07"
"im-tram3_li","V654A#30",4227,"2,25",707,"0,41","0,18"
"im-tram3_li","V654A#39",4039,"2,15",886,"0,52","0,24"
"im-tram3_li","D816E#24",5815,"3,10",5989,"3,49","1,13"
"im-tram3_li","D816E#34",4318,"2,30",2572,"1,50","0,65"
"im-tram3_li","D816E#36",24093,"12,84",26936,"15,71","1,22"
"im-tram3_li","D816A#10",10735,"5,72",6040,"3,52","0,62"
"im-tram3_li","D816A#11",3502,"1,87",2436,"1,42","0,76"
"im-tram3_li","D816A#13",15705,"8,37",2786,"1,62","0,19"
"im-tram3_li","A829P#21",2029,"1,08",490,"0,29","0,26"
"im-tram3_li","A829P#22",11590,"6,18",626,"0,37","0,06"
"im-tram3_li","A829P#28",6360,"3,39",445,"0,26","0,08"
"im2_li","T1parental#4",1533,"0,82",2092,"1,32","1,62"
"im2_li","T1parental#6",10903,"5,81",12396,"7,83","1,35"
"im2_li","T1parental#9",12735,"6,79",15500,"9,80","1,44"
"im2_li","TSC2#18",7320,"3,90",5174,"3,27","0,84"
"im2_li","TSC2#19",3,"0,00",15,"0,01","5,93"
"im2_li","TSC2#20",14729,"7,85",31137,"19,68","2,51"
"im2_li","PTEN#15",13623,"7,26",18766,"11,86","1,63"
"im2_li","PTEN#16",7845,"4,18",9712,"6,14","1,47"
"im2_li","PTEN#17",6959,"3,71",18306,"11,57","3,12"
"im2_li","Hom#25",3661,"1,95",1096,"0,69","0,35"
"im2_li","Hom#26",4356,"2,32",2839,"1,79","0,77"
"im2_li","Hom#27",873,"0,47",878,"0,55","1,19"
"im2_li","V654A#29",10677,"5,69",577,"0,36","0,06"
"im2_li","V654A#30",4227,"2,25",807,"0,51","0,23"
"im2_li","V654A#39",4039,"2,15",599,"0,38","0,18"
"im2_li","D816E#24",5815,"3,10",5387,"3,40","1,10"
"im2_li","D816E#34",4318,"2,30",2253,"1,42","0,62"
"im2_li","D816E#36",24093,"12,84",19879,"12,56","0,98"
"im2_li","D816A#10",10735,"5,72",5388,"3,40","0,60"
"im2_li","D816A#11",3502,"1,87",3491,"2,21","1,18"
"im2_li","D816A#13",15705,"8,37",1458,"0,92","0,11"
"im2_li","A829P#21",2029,"1,08",202,"0,13","0,12"
"im2_li","A829P#22",11590,"6,18",195,"0,12","0,02"
"im2_li","A829P#28",6360,"3,39",96,"0,06","0,02"
"ctrl2_li","T1parental#4",1533,"0,82",3499,"2,71","3,32"
"ctrl2_li","T1parental#6",10903,"5,81",25497,"19,75","3,40"
"ctrl2_li","T1parental#9",12735,"6,79",25976,"20,12","2,96"
"ctrl2_li","TSC2#18",7320,"3,90",3218,"2,49","0,64"
"ctrl2_li","TSC2#19",3,"0,00",23,"0,02","11,14"
"ctrl2_li","TSC2#20",14729,"7,85",11769,"9,12","1,16"
"ctrl2_li","PTEN#15",13623,"7,26",19553,"15,14","2,09"
"ctrl2_li","PTEN#16",7845,"4,18",9315,"7,21","1,73"
"ctrl2_li","PTEN#17",6959,"3,71",19771,"15,31","4,13"
"ctrl2_li","Hom#25",3661,"1,95",726,"0,56","0,29"
"ctrl2_li","Hom#26",4356,"2,32",1055,"0,82","0,35"
"ctrl2_li","Hom#27",873,"0,47",462,"0,36","0,77"
"ctrl2_li","V654A#29",10677,"5,69",130,"0,10","0,02"
"ctrl2_li","V654A#30",4227,"2,25",289,"0,22","0,10"
